2021-05-14T00:24:31,823 TRACE [Test worker]: ClientController                     - getAllClients - method entered 
2021-05-14T00:25:48,380 TRACE [Test worker]: ClientController                     - getAllClients - method entered 
2021-05-14T00:26:12,958 TRACE [Test worker]: ClientController                     - getAllClients - method entered 
2021-05-14T00:33:01,478 TRACE [Test worker]: ClientController                     - getAllClients - method entered 
2021-05-14T00:34:14,339 TRACE [Test worker]: ClientController                     - getAllClients - method entered 
2021-05-14T00:39:24,130 WARN  [Test worker]: DefaultHandlerExceptionResolver      - Failed to read HTTP message: org.springframework.http.converter.HttpMessageNotReadableException: Required request body is missing: ro.ubb.catalog.web.dto.ClientDto ro.ubb.catalog.web.controller.ClientController.addClient(ro.ubb.catalog.web.dto.ClientDto) 
2021-05-14T00:39:55,115 WARN  [Test worker]: DefaultHandlerExceptionResolver      - Failed to read HTTP message: org.springframework.http.converter.HttpMessageNotReadableException: Required request body is missing: ro.ubb.catalog.web.dto.ClientDto ro.ubb.catalog.web.controller.ClientController.addClient(ro.ubb.catalog.web.dto.ClientDto) 
2021-05-14T00:41:36,920 TRACE [Test worker]: ClientController                     - addClient - method entered; clientDto = ClientDto(super=BaseDto(id=100), name=newClient, dateOfBirth=null, address=null, gunTypes=null) 
2021-05-14T00:41:36,954 TRACE [Test worker]: ClientController                     - addClient - method finished; resultModel(type ClientDto) = null 
2021-05-14T00:42:09,453 TRACE [Test worker]: ClientController                     - addClient - method entered; clientDto = ClientDto(super=BaseDto(id=3), name=newClient, dateOfBirth=null, address=null, gunTypes=null) 
2021-05-14T00:42:09,488 TRACE [Test worker]: ClientController                     - addClient - method finished; resultModel(type ClientDto) = null 
2021-05-14T00:43:10,141 WARN  [Test worker]: DefaultHandlerExceptionResolver      - Failed to read HTTP message: org.springframework.http.converter.HttpMessageNotReadableException: Required request body is missing: ro.ubb.catalog.web.dto.ClientDto ro.ubb.catalog.web.controller.ClientController.addClient(ro.ubb.catalog.web.dto.ClientDto) 
2021-05-14T00:43:33,882 TRACE [Test worker]: ClientController                     - addClient - method entered; clientDto = ClientDto(super=BaseDto(id=3), name=newClient, dateOfBirth=null, address=null, gunTypes=null) 
2021-05-14T00:43:33,914 TRACE [Test worker]: ClientController                     - addClient - method finished; resultModel(type ClientDto) = null 
2021-05-14T00:51:59,302 TRACE [Test worker]: ClientController                     - updateClient - method entered; clientDto = ClientDto(super=BaseDto(id=1), name=c1, dateOfBirth=null, address=null, gunTypes=null) 
2021-05-14T00:51:59,333 TRACE [Test worker]: ClientController                     - updateClient - method finished; resultedClientDto = null 
2021-05-14T00:54:12,860 TRACE [Test worker]: ClientController                     - updateClient - method entered; clientDto = ClientDto(super=BaseDto(id=1), name=c1, dateOfBirth=null, address=null, gunTypes=null) 
2021-05-14T00:54:12,894 TRACE [Test worker]: ClientController                     - updateClient - method finished; resultedClientDto = null 
2021-05-14T00:55:19,573 TRACE [Test worker]: ClientController                     - updateClient - method entered; clientDto = ClientDto(super=BaseDto(id=1), name=c1, dateOfBirth=null, address=null, gunTypes=null) 
2021-05-14T00:55:19,603 TRACE [Test worker]: ClientController                     - updateClient - method finished; resultedClientDto = null 
2021-05-14T00:55:54,611 TRACE [Test worker]: ClientController                     - updateClient - method entered; clientDto = ClientDto(super=BaseDto(id=1), name=c1, dateOfBirth=null, address=null, gunTypes=null) 
